Coins,Symbols,Mentions this week,Mentions last week,Mentions two weeks ago,Mentions three weeks ago,Mentions four weeks ago,Sentiment this week,Sentiment last week,Sentiment two weeks ago,Sentiment three weeks ago,Sentiment four weeks ago,Price this week,Price last week,Price two weeks ago,Price three weeks ago,Price four weeks ago,Percent change this week
Bitcoin,BTC,16683,13858,12558,13310,14770,0.30065499999999995,0.34572549019607846,0.17005957446808512,0.2530965517241379,0.18142878787878786,51231.888122,61523.776467,58333.900551,59095.622773,54912.447081,-16.03
Ethereum,ETH,8265,5672,4483,4412,4136,0.3532,0.36300084745762723,0.34247894736842105,0.300229245283019,0.4766763157894736,2369.90234,2428.901613,2072.734053,2129.308359,1700.169228,-2.3
XRP,XRP,351,726,404,160,205,0.26680217391304345,0.24997875000000008,0.2087151162790698,0.32142708333333325,0.16607272727272726,1.145359,1.582209,1.046091,0.613693,0.566208,-29.0
Litecoin,LTC,2504,1988,1065,663,533,0.3487746268656715,0.4025999999999999,0.3105633333333333,0.2550642857142857,0.4944208333333333,241.777426,310.288149,223.456545,212.126889,184.147427,-22.17
Bitcoin Cash,BCH,529,431,298,273,274,0.274754945054945,0.34272169811320746,0.525755882352941,0.3908433333333334,0.46935185185185185,832.737024,1114.416614,640.015251,583.076598,507.740511,-25.65
Binance Coin,BNB,2863,2238,1535,1202,1214,0.37530459770114943,0.26364035087719295,0.39591538461538456,0.40169807692307685,0.4280589285714286,530.943733,510.457337,452.194546,338.131715,255.263471,3.9
Tether,USDT,23,1,5,2,1,0.24458222222222226,0.41901538461538457,0.2022558823529412,0.28507499999999997,0.210635,1.004868,1.003694,1.003068,1.001472,1.011012,2.35
EOS,EOS,94,95,103,82,60,0.32356562499999997,0.2600318181818182,0.4546333333333334,0.2535583333333334,0.2697625,5.482861,8.619604,6.294532,6.265373,4.200122,-35.91
Bitcoin SV,BSV,82,67,55,65,72,0.26979000000000003,0.4734,0.49285,0.0,0.2752,248.639809,441.284883,260.583232,247.386948,203.293431,-43.72
Stellar,XLM,117,151,137,125,135,0.31749078947368425,0.32554848484848486,0.26576875000000005,0.4123823529411764,0.40011071428571426,0.453471,0.616622,0.497404,0.444431,0.387209,-27.52
Cardano,ADA,1710,1388,1229,1431,1627,0.305248795180723,0.35212299999999996,0.32624901960784314,0.3064733333333334,0.3905142857142857,1.150396,1.422962,1.213219,1.194512,1.21772,-18.6
TRON,TRX,86,93,118,76,52,0.34762812500000007,0.258145,0.1672607142857143,0.13617142857142855,0.168475,0.105706,0.161362,0.116385,0.092354,0.064876,-34.82
Monero,XMR,251,265,220,223,190,0.24895434782608697,0.35063666666666665,0.23096166666666662,0.21111315789473686,0.4077384615384615,347.735831,342.355837,275.025814,257.510416,221.996142,1.35
Dash,DASH,47,37,33,41,42,0.34406428571428577,0.33961250000000004,0.5824666666666667,0.428265,0.327975,264.204487,379.799636,266.116952,243.598814,204.008657,-30.78
NEO,NEO,103,91,85,82,83,0.19500652173913044,0.23942142857142862,0.3223916666666667,0.2793045454545454,0.12845,85.354094,87.413048,61.750888,53.368614,41.882061,-3.7
IOTA,MIOTA,244,160,123,170,203,0.25970652173913045,0.4155650000000001,0.3872266666666667,0.36104166666666665,0.303035,1.920403,2.570613,1.889096,1.62523,1.447415,-25.88
Chainlink,LINK,301,309,304,188,214,0.24417343749999995,0.2729275,0.3771925,0.39121388888888886,0.4857625,34.888803,42.356686,32.197005,32.594145,27.510663,-17.88
Cosmos,ATOM,163,107,73,88,81,0.43235454545454544,0.28698181818181817,0.3245863636363637,0.30948749999999997,0.19848749999999998,20.418207,25.614801,21.547011,20.384288,18.974909,-20.93
Tezos,XTZ,1215,302,303,348,296,0.3590696428571429,0.25966538461538463,0.03606666666666666,0.23786923076923075,0.0,4.797961,7.371908,6.8364,5.349238,4.215328,-34.6
Ethereum Classic,ETC,151,93,46,28,24,0.13956111111111114,0.30685,0.359375,0.3185625,0.0,32.360545,38.424628,18.853398,15.234023,11.842739,-16.99
NEM,XEM,42,34,29,46,78,0.369775,0.09943333333333333,0.39063333333333333,0.4998,0.7552000000000001,0.283017,0.457714,0.407971,0.36025,0.343495,-38.55
Maker,MKR,49,45,49,38,22,0.27202884615384615,0.27852916666666666,0.43376086956521737,0.36869999999999997,0.4422388888888889,4211.809868,3394.038297,2226.776209,2490.774059,1988.130932,23.65
Ontology,ONT,42,32,32,38,39,0.26625,0.29565,0.49315,0.0,0.5541,1.5409,2.349362,2.011506,1.773057,1.286309,-34.72
Crypto.com Chain,CRO,799,679,566,728,851,0.4785085714285714,0.2026766666666667,0.47720454545454544,0.48683999999999994,0.28222,0.173704,0.236456,0.210365,0.215624,0.213039,-26.3
Zcash,ZEC,169,138,157,86,76,0.32592,0.10442142857142857,0.11489999999999999,0.5369,0.563675,217.779624,270.512421,195.345602,169.567407,133.56162,-19.56
V Systems,VSYS,1,50,1,1,2,0.3825154320987656,0.503088,0.32005000000000006,0.4475349999999999,0.4628738095238095,0.036865,0.053303,0.051942,0.052695,0.027921,-32.26
USD Coin,USDC,37,21,27,83,17,0.3050337837837838,0.437559090909091,0.4538892857142858,0.20589833333333332,0.47364666666666666,1.003053,1.001781,1.002419,1.000612,1.003674,2.41
Dogecoin,DOGE,28571,16292,4511,4982,5671,0.2207852941176472,0.2289853846153847,0.3937625,0.2109722222222222,0.3697,0.245022,0.356766,0.062825,0.058107,0.054044,-24.08
Bitcoin Gold,BTG,39,42,42,14,11,0.40114186046511624,0.3897515151515152,0.2927611111111111,0.2793257575757576,0.19483214285714287,86.453588,127.863015,130.113291,42.367619,34.140127,-32.34
Basic Attention Token,BAT,228,199,215,169,180,0.48403,0.7357666666666667,0.376925,0.5157666666666666,0.7684333333333333,1.138754,1.537642,1.554843,1.207506,1.078009,-26.01
VeChain Thor,VET,419,395,234,201,234,0.48166666666666663,-0.51025,0.71425,0.0,0.7258,0.203946,0.242657,0.126797,0.09466,0.090167,-16.4
Qtum,QTUM,17,27,41,26,14,0.3270166666666667,0.014075000000000004,0.2997,-0.27115,0.0,12.839144,19.054042,16.163204,10.308918,8.704907,-31.94
Decred,DCR,11,8,10,16,10,0.25350000000000006,-0.27155,0.7596,0.0,0.49995,185.027056,245.83628,191.888331,182.983938,157.310642,-24.24
Huobi Token,HT,13,28,16,12,13,0.486375,0.78375,0.49995,0.8147500000000001,0.0,18.282526,20.427187,18.358329,16.926412,12.900033,-10.61
OMG Network,OMG,10,7,12,7,10,0.4292,0.0,0.44585,0.0,0.0,6.57807,10.407396,10.612733,7.620138,5.33759,-36.91
TrueUSD,TUSD,8,7,4,1,3,0.41396749999999993,0.12978000000000006,0.7808375000000001,0.34567857142857145,0.367625,1.000395,1.000842,1.00397,1.00087,1.003459,0.69
Ravencoin,RVN,274,229,176,232,234,0.377925,0.23785,0.16918333333333338,0.0903,0.0,0.142553,0.202732,0.189329,0.192887,0.201416,-29.44
Nano,NANO,472,181,159,172,249,0.3321317757009346,0.390525641025641,0.35513874999999995,0.3280194444444444,0.40396785714285716,8.042784,6.093995,6.123627,5.112547,4.432346,67.48
Lisk,LSK,33,15,34,17,20,0.11053750000000001,0.12922499999999998,0.0,-0.20095,0.0,4.130476,6.977134,7.100341,5.991225,4.485361,-40.67
BitTorrent,BTT,11,3,12,20,9,0.3837125,0.0,0.2775833333333333,0.0,0.32305000000000006,0.006528,0.008124,0.010053,0.006782,0.003553,-17.51
Bitcoin Diamond,BCD,8,1,2,1,8,0.56735625,0.5749,0.15457499999999996,0.79225,0.48991874999999996,2.214719,3.251324,2.896806,1.408905,1.088234,-31.84
Holo,HOT,53,94,99,146,70,0.1806,0.61,0.35245,0.27021249999999997,0.0,0.012201,0.019125,0.021159,0.024173,0.010429,-36.98
KuCoin Shares,KCS,563,556,566,357,358,0.5934,0.6382749999999999,0.82885,0.0,0.0896,11.97956,14.118044,17.228767,7.22512,4.988306,-19.18
Waves,WAVES,27,44,28,23,26,0.2333142857142857,0.20373333333333332,0.2728578947368421,0.423515,0.37833124999999995,15.212995,16.50129,16.837793,13.069542,12.494226,-8.61
0x,ZRX,9,11,5,11,10,0.2314375,0.2887,0.0,0.33806250000000004,0.5626000000000001,1.461249,2.129307,2.244189,2.011002,1.394245,-31.29
